master_id,slave_id,delta_days,track,perp_baseline,temp_baseline
S1A_IW_SLC__1SDV_20210103T215224_20210103T215251_035979_04370E_73D6,S1A_IW_SLC__1SDV_20210127T214903_20210127T214930_036329_04434B_F7F4,23,32,,
S1A_IW_SLC__1SDV_20210115T214904_20210115T214931_036154_043D32_A14A,S1A_IW_SLC__1SDV_20210127T214928_20210127T214955_036329_04434B_36F1,12,32,,
S1A_IW_SLC__1SDV_20210115T214928_20210115T214955_036154_043D32_23EF,S1A_IW_SLC__1SDV_20210127T214928_20210127T214955_036329_04434B_36F1,12,32,,
S1A_IW_SLC__1SDV_20210115T214953_20210115T215020_036154_043D32_7992,S1A_IW_SLC__1SDV_20210127T214953_20210127T215020_036329_04434B_141C,12,32,,
S1A_IW_SLC__1SDV_20210115T215018_20210115T215045_036154_043D32_912D,S1A_IW_SLC__1SDV_20210127T215018_20210127T215045_036329_04434B_B55F,12,32,,
S1A_IW_SLC__1SDV_20210115T215043_20210115T215111_036154_043D32_C137,S1A_IW_SLC__1SDV_20210127T215043_20210127T215110_036329_04434B_1D39,12,32,,
S1A_IW_SLC__1SDV_20210115T215109_20210115T215136_036154_043D32_2AB4,S1A_IW_SLC__1SDV_20210127T215133_20210127T215200_036329_04434B_03FB,12,32,,
S1A_IW_SLC__1SDV_20210115T215133_20210115T215201_036154_043D32_63A3,S1A_IW_SLC__1SDV_20210127T215133_20210127T215200_036329_04434B_03FB,12,32,,
S1A_IW_SLC__1SDV_20210115T215158_20210115T215225_036154_043D32_46AF,S1A_IW_SLC__1SDV_20210127T215158_20210127T215225_036329_04434B_EF1A,12,32,,
S1A_IW_SLC__1SDV_20210115T215223_20210115T215250_036154_043D32_1F1D,S1A_IW_SLC__1SDV_20210127T215223_20210127T215250_036329_04434B_63BE,12,32,,
S1A_IW_SLC__1SDV_20210104T223058_20210104T223128_035994_043783_68FB,S1A_IW_SLC__1SDV_20210116T223125_20210116T223153_036169_043DA9_9957,12,47,,
S1A_IW_SLC__1SDV_20210104T223125_20210104T223153_035994_043783_08A0,S1A_IW_SLC__1SDV_20210116T223125_20210116T223153_036169_043DA9_9957,12,47,,
S1A_IW_SLC__1SDV_20210104T223151_20210104T223218_035994_043783_3987,S1A_IW_SLC__1SDV_20210116T223151_20210116T223218_036169_043DA9_F1DF,12,47,,
S1A_IW_SLC__1SDV_20210104T223216_20210104T223243_035994_043783_6B65,S1A_IW_SLC__1SDV_20210116T223216_20210116T223228_036169_043DA9_0039,12,47,,
S1A_IW_SLC__1SDV_20210104T223241_20210104T223308_035994_043783_7BE4,S1A_IW_SLC__1SDV_20210128T223057_20210128T223127_036344_0443C1_30CE,23,47,,
S1A_IW_SLC__1SDV_20210104T223306_20210104T223333_035994_043783_2A82,S1A_IW_SLC__1SDV_20210128T223057_20210128T223127_036344_0443C1_30CE,23,47,,
S1A_IW_SLC__1SDV_20210116T223057_20210116T223127_036169_043DA9_9FDE,S1A_IW_SLC__1SDV_20210128T223057_20210128T223127_036344_0443C1_30CE,12,47,,
S1A_IW_SLC__1SDV_20210116T223125_20210116T223153_036169_043DA9_9957,S1A_IW_SLC__1SDV_20210128T223125_20210128T223152_036344_0443C1_8EC1,12,47,,
S1A_IW_SLC__1SDV_20210116T223151_20210116T223218_036169_043DA9_F1DF,S1A_IW_SLC__1SDV_20210128T223215_20210128T223242_036344_0443C1_2CA8,12,47,,
S1A_IW_SLC__1SDV_20210116T223216_20210116T223228_036169_043DA9_0039,S1A_IW_SLC__1SDV_20210128T223240_20210128T223307_036344_0443C1_CB60,12,47,,
S1A_IW_SLC__1SDV_20210106T221425_20210106T221455_036023_04388F_8261,S1A_IW_SLC__1SDV_20210118T221425_20210118T221454_036198_043EB4_A240,12,76,,
S1A_IW_SLC__1SDV_20210106T221453_20210106T221520_036023_04388F_5AFD,S1A_IW_SLC__1SDV_20210118T221518_20210118T221545_036198_043EB4_8570,12,76,,
S1A_IW_SLC__1SDV_20210106T221518_20210106T221545_036023_04388F_C42B,S1A_IW_SLC__1SDV_20210118T221518_20210118T221545_036198_043EB4_8570,12,76,,
S1A_IW_SLC__1SDV_20210106T221543_20210106T221610_036023_04388F_28CD,S1A_IW_SLC__1SDV_20210118T221543_20210118T221610_036198_043EB4_5D43,12,76,,
S1A_IW_SLC__1SDV_20210106T221608_20210106T221635_036023_04388F_280F,S1A_IW_SLC__1SDV_20210118T221608_20210118T221634_036198_043EB4_585A,12,76,,
S1A_IW_SLC__1SDV_20210106T221633_20210106T221700_036023_04388F_EE54,S1A_IW_SLC__1SDV_20210118T221657_20210118T221725_036198_043EB4_4037,12,76,,
S1A_IW_SLC__1SDV_20210106T221658_20210106T221726_036023_04388F_BAD4,S1A_IW_SLC__1SDV_20210130T221424_20210130T221454_036373_0444C8_984C,23,76,,
S1A_IW_SLC__1SDV_20210118T221425_20210118T221454_036198_043EB4_A240,S1A_IW_SLC__1SDV_20210130T221452_20210130T221520_036373_0444C8_FABD,12,76,,
S1A_IW_SLC__1SDV_20210118T221452_20210118T221520_036198_043EB4_E21C,S1A_IW_SLC__1SDV_20210130T221452_20210130T221520_036373_0444C8_FABD,12,76,,
S1A_IW_SLC__1SDV_20210118T221518_20210118T221545_036198_043EB4_8570,S1A_IW_SLC__1SDV_20210130T221518_20210130T221545_036373_0444C8_8999,12,76,,
S1A_IW_SLC__1SDV_20210118T221543_20210118T221610_036198_043EB4_5D43,S1A_IW_SLC__1SDV_20210130T221607_20210130T221634_036373_0444C8_F103,12,76,,
S1A_IW_SLC__1SDV_20210118T221608_20210118T221634_036198_043EB4_585A,S1A_IW_SLC__1SDV_20210130T221632_20210130T221659_036373_0444C8_01E8,12,76,,
S1A_IW_SLC__1SDV_20210118T221632_20210118T221659_036198_043EB4_9268,S1A_IW_SLC__1SDV_20210130T221632_20210130T221659_036373_0444C8_01E8,12,76,,
S1A_IW_SLC__1SDV_20210118T221657_20210118T221725_036198_043EB4_4037,S1A_IW_SLC__1SDV_20210130T221657_20210130T221725_036373_0444C8_4978,12,76,,
S1A_IW_SLC__1SDV_20210108T215705_20210108T215732_036052_04399C_844A,S1A_IW_SLC__1SDV_20210120T215729_20210120T215756_036227_043FC4_FFC4,12,105,,
S1A_IW_SLC__1SDV_20210108T215729_20210108T215756_036052_04399C_4678,S1A_IW_SLC__1SDV_20210120T215729_20210120T215756_036227_043FC4_FFC4,12,105,,
S1A_IW_SLC__1SDV_20210108T215754_20210108T215821_036052_04399C_601D,S1A_IW_SLC__1SDV_20210120T215754_20210120T215821_036227_043FC4_BFC7,12,105,,
S1A_IW_SLC__1SDV_20210108T215819_20210108T215846_036052_04399C_F453,S1A_IW_SLC__1SDV_20210120T215843_20210120T215910_036227_043FC4_612C,12,105,,
S1A_IW_SLC__1SDV_20210108T215844_20210108T215911_036052_04399C_9AFC,S1A_IW_SLC__1SDV_20210120T215908_20210120T215936_036227_043FC4_C8E4,12,105,,
S1A_IW_SLC__1SDV_20210108T215909_20210108T215937_036052_04399C_6679,S1A_IW_SLC__1SDV_20210120T215934_20210120T220001_036227_043FC4_A43D,12,105,,
S1A_IW_SLC__1SDV_20210108T215934_20210108T220001_036052_04399C_6E8E,S1A_IW_SLC__1SDV_20210120T215934_20210120T220001_036227_043FC4_A43D,12,105,,
S1A_IW_SLC__1SDV_20210108T215959_20210108T220026_036052_04399C_E78B,S1A_IW_SLC__1SDV_20210120T215959_20210120T220026_036227_043FC4_7CED,12,105,,
S1B_IW_SLC__1SDV_20210103T101812_20210103T101839_024988_02F95E_0BBE,S1B_IW_SLC__1SDV_20210115T101812_20210115T101839_025163_02FEFF_BBC1,12,112,,
S1B_IW_SLC__1SDV_20210103T101837_20210103T101914_024988_02F95E_FCB0,S1B_IW_SLC__1SDV_20210115T101837_20210115T101914_025163_02FEFF_7B40,12,112,,
S1A_IW_SLC__1SDV_20210109T101905_20210109T101923_036059_0439E1_559A,S1B_IW_SLC__1SDV_20210127T101811_20210127T101838_025338_030493_3AEE,17,112,,
S1B_IW_SLC__1SDV_20210115T101812_20210115T101839_025163_02FEFF_BBC1,S1B_IW_SLC__1SDV_20210127T101836_20210127T101913_025338_030493_90D5,12,112,,
S1B_IW_SLC__1SDV_20210104T214209_20210104T214237_025010_02FA0B_D2B5,S1B_IW_SLC__1SDV_20210116T214234_20210116T214301_025185_02FFAA_403B,12,134,,
S1B_IW_SLC__1SDV_20210104T214235_20210104T214302_025010_02FA0B_02B6,S1B_IW_SLC__1SDV_20210116T214259_20210116T214326_025185_02FFAA_8599,12,134,,
S1B_IW_SLC__1SDV_20210104T214300_20210104T214326_025010_02FA0B_649E,S1B_IW_SLC__1SDV_20210116T214324_20210116T214351_025185_02FFAA_6561,12,134,,
S1B_IW_SLC__1SDV_20210104T214324_20210104T214351_025010_02FA0B_A296,S1B_IW_SLC__1SDV_20210116T214324_20210116T214351_025185_02FFAA_6561,12,134,,
S1A_IW_SLC__1SDV_20210110T214233_20210110T214300_036081_043AAB_A1BB,S1A_IW_SLC__1SDV_20210122T214233_20210122T214300_036256_0440C7_E6AF,12,134,,
S1A_IW_SLC__1SDV_20210110T214258_20210110T214325_036081_043AAB_7572,S1A_IW_SLC__1SDV_20210122T214322_20210122T214349_036256_0440C7_985C,12,134,,
S1A_IW_SLC__1SDV_20210110T214323_20210110T214350_036081_043AAB_23E6,S1A_IW_SLC__1SDV_20210122T214347_20210122T214415_036256_0440C7_5E3B,12,134,,
S1A_IW_SLC__1SDV_20210110T214348_20210110T214416_036081_043AAB_657D,S1A_IW_SLC__1SDV_20210122T214413_20210122T214440_036256_0440C7_5CFE,12,134,,
S1A_IW_SLC__1SDV_20210110T214413_20210110T214440_036081_043AAB_7A31,S1A_IW_SLC__1SDV_20210122T214413_20210122T214440_036256_0440C7_5CFE,12,134,,
S1B_IW_SLC__1SDV_20210116T214208_20210116T214236_025185_02FFAA_ED31,S1B_IW_SLC__1SDV_20210128T214208_20210128T214236_025360_03053B_D418,12,134,,
S1B_IW_SLC__1SDV_20210116T214234_20210116T214301_025185_02FFAA_403B,S1B_IW_SLC__1SDV_20210128T214234_20210128T214301_025360_03053B_EF28,12,134,,
S1B_IW_SLC__1SDV_20210116T214259_20210116T214326_025185_02FFAA_8599,S1B_IW_SLC__1SDV_20210128T214259_20210128T214326_025360_03053B_31D3,12,134,,
S1B_IW_SLC__1SDV_20210116T214324_20210116T214351_025185_02FFAA_6561,S1B_IW_SLC__1SDV_20210128T214324_20210128T214350_025360_03053B_900C,12,134,,
