master_id,master_fileID,slave_id,slave_fileID,delta_days,track,perp_baseline,temp_baseline
S1A_IW_SLC__1SDV_20221020T214402_20221020T214430_045531_05717D_40DD,S1A_IW_SLC__1SDV_20221020T214402_20221020T214430_045531_05717D_40DD-SLC,S1A_IW_SLC__1SDV_20221101T214402_20221101T214430_045706_057764_06A5,S1A_IW_SLC__1SDV_20221101T214402_20221101T214430_045706_057764_06A5-SLC,12,134,166.57577544355718,12
S1A_IW_SLC__1SDV_20221020T214427_20221020T214455_045531_05717D_9F98,S1A_IW_SLC__1SDV_20221020T214427_20221020T214455_045531_05717D_9F98-SLC,S1A_IW_SLC__1SDV_20221101T214427_20221101T214454_045706_057764_9F08,S1A_IW_SLC__1SDV_20221101T214427_20221101T214454_045706_057764_9F08-SLC,12,134,165.89738635410396,12
S1A_IW_SLC__1SDV_20221101T214312_20221101T214339_045706_057764_1BE2,S1A_IW_SLC__1SDV_20221101T214312_20221101T214339_045706_057764_1BE2-SLC,S1A_IW_SLC__1SDV_20221113T214312_20221113T214339_045881_057D50_EF24,S1A_IW_SLC__1SDV_20221113T214312_20221113T214339_045881_057D50_EF24-SLC,12,134,54.91925934413377,12
S1A_IW_SLC__1SDV_20221101T214337_20221101T214404_045706_057764_796C,S1A_IW_SLC__1SDV_20221101T214337_20221101T214404_045706_057764_796C-SLC,S1A_IW_SLC__1SDV_20221113T214337_20221113T214404_045881_057D50_B381,S1A_IW_SLC__1SDV_20221113T214337_20221113T214404_045881_057D50_B381-SLC,12,134,80.68971117262339,12
S1A_IW_SLC__1SDV_20221101T214402_20221101T214430_045706_057764_06A5,S1A_IW_SLC__1SDV_20221101T214402_20221101T214430_045706_057764_06A5-SLC,S1A_IW_SLC__1SDV_20221113T214402_20221113T214429_045881_057D50_17FD,S1A_IW_SLC__1SDV_20221113T214402_20221113T214429_045881_057D50_17FD-SLC,12,134,54.352993456507754,12
S1A_IW_SLC__1SDV_20221101T214427_20221101T214454_045706_057764_9F08,S1A_IW_SLC__1SDV_20221101T214427_20221101T214454_045706_057764_9F08-SLC,S1A_IW_SLC__1SDV_20221113T214427_20221113T214454_045881_057D50_12F5,S1A_IW_SLC__1SDV_20221113T214427_20221113T214454_045881_057D50_12F5-SLC,12,134,53.95570773622149,12
S1A_IW_SLC__1SDV_20221125T214427_20221125T214454_046056_058338_D0E0,S1A_IW_SLC__1SDV_20221125T214427_20221125T214454_046056_058338_D0E0-SLC,S1A_IW_SLC__1SDV_20221207T214427_20221207T214454_046231_058933_6CD2,S1A_IW_SLC__1SDV_20221207T214427_20221207T214454_046231_058933_6CD2-SLC,12,134,145.08090985058317,12
S1A_IW_SLC__1SDV_20221219T214310_20221219T214337_046406_058F31_D97A,S1A_IW_SLC__1SDV_20221219T214310_20221219T214337_046406_058F31_D97A-SLC,S1A_IW_SLC__1SDV_20221231T214310_20221231T214337_046581_059516_9B12,S1A_IW_SLC__1SDV_20221231T214310_20221231T214337_046581_059516_9B12-SLC,12,134,112.3928112778729,12
S1A_IW_SLC__1SDV_20221219T214335_20221219T214402_046406_058F31_42CB,S1A_IW_SLC__1SDV_20221219T214335_20221219T214402_046406_058F31_42CB-SLC,S1A_IW_SLC__1SDV_20221231T214335_20221231T214402_046581_059516_A198,S1A_IW_SLC__1SDV_20221231T214335_20221231T214402_046581_059516_A198-SLC,12,134,116.32728208918107,12
S1A_IW_SLC__1SDV_20221219T214400_20221219T214428_046406_058F31_99F6,S1A_IW_SLC__1SDV_20221219T214400_20221219T214428_046406_058F31_99F6-SLC,S1A_IW_SLC__1SDV_20221231T214400_20221231T214428_046581_059516_8655,S1A_IW_SLC__1SDV_20221231T214400_20221231T214428_046581_059516_8655-SLC,12,134,117.08354548570823,12
S1A_IW_SLC__1SDV_20230301T214243_20230301T214310_047456_05B291_799B,S1A_IW_SLC__1SDV_20230301T214243_20230301T214310_047456_05B291_799B-SLC,S1A_IW_SLC__1SDV_20230313T214243_20230313T214310_047631_05B87E_771D,S1A_IW_SLC__1SDV_20230313T214243_20230313T214310_047631_05B87E_771D-SLC,12,134,123.68525765246622,12
S1A_IW_SLC__1SDV_20230301T214308_20230301T214335_047456_05B291_6873,S1A_IW_SLC__1SDV_20230301T214308_20230301T214335_047456_05B291_6873-SLC,S1A_IW_SLC__1SDV_20230313T214308_20230313T214335_047631_05B87E_332A,S1A_IW_SLC__1SDV_20230313T214308_20230313T214335_047631_05B87E_332A-SLC,12,134,122.14889272097945,12
S1A_IW_SLC__1SDV_20230301T214333_20230301T214400_047456_05B291_0A28,S1A_IW_SLC__1SDV_20230301T214333_20230301T214400_047456_05B291_0A28-SLC,S1A_IW_SLC__1SDV_20230313T214333_20230313T214400_047631_05B87E_DFF2,S1A_IW_SLC__1SDV_20230313T214333_20230313T214400_047631_05B87E_DFF2-SLC,12,134,123.39444662929515,12
S1A_IW_SLC__1SDV_20230301T214358_20230301T214426_047456_05B291_B859,S1A_IW_SLC__1SDV_20230301T214358_20230301T214426_047456_05B291_B859-SLC,S1A_IW_SLC__1SDV_20230313T214358_20230313T214425_047631_05B87E_9288,S1A_IW_SLC__1SDV_20230313T214358_20230313T214425_047631_05B87E_9288-SLC,12,134,118.08477750985138,12
S1A_IW_SLC__1SDV_20230301T214423_20230301T214451_047456_05B291_1C48,S1A_IW_SLC__1SDV_20230301T214423_20230301T214451_047456_05B291_1C48-SLC,S1A_IW_SLC__1SDV_20230313T214423_20230313T214450_047631_05B87E_E128,S1A_IW_SLC__1SDV_20230313T214423_20230313T214450_047631_05B87E_E128-SLC,12,134,115.49681025286492,12
S1A_IW_SLC__1SDV_20230313T214333_20230313T214400_047631_05B87E_DFF2,S1A_IW_SLC__1SDV_20230313T214333_20230313T214400_047631_05B87E_DFF2-SLC,S1A_IW_SLC__1SDV_20230325T214333_20230325T214400_047806_05BE64_C407,S1A_IW_SLC__1SDV_20230325T214333_20230325T214400_047806_05BE64_C407-SLC,12,134,161.52596897607543,12
S1A_IW_SLC__1SDV_20230430T214310_20230430T214337_048331_05D012_4CAD,S1A_IW_SLC__1SDV_20230430T214310_20230430T214337_048331_05D012_4CAD-SLC,S1A_IW_SLC__1SDV_20230512T214310_20230512T214337_048506_05D5B4_24A9,S1A_IW_SLC__1SDV_20230512T214310_20230512T214337_048506_05D5B4_24A9-SLC,12,134,53.8200620098853,12
S1A_IW_SLC__1SDV_20230430T214334_20230430T214401_048331_05D012_A14C,S1A_IW_SLC__1SDV_20230430T214334_20230430T214401_048331_05D012_A14C-SLC,S1A_IW_SLC__1SDV_20230512T214335_20230512T214402_048506_05D5B4_DE31,S1A_IW_SLC__1SDV_20230512T214335_20230512T214402_048506_05D5B4_DE31-SLC,12,134,57.43001144964878,12
S1A_IW_SLC__1SDV_20230430T214359_20230430T214427_048331_05D012_C045,S1A_IW_SLC__1SDV_20230430T214359_20230430T214427_048331_05D012_C045-SLC,S1A_IW_SLC__1SDV_20230512T214400_20230512T214428_048506_05D5B4_B649,S1A_IW_SLC__1SDV_20230512T214400_20230512T214428_048506_05D5B4_B649-SLC,12,134,49.936604760833,12
S1A_IW_SLC__1SDV_20230512T214335_20230512T214402_048506_05D5B4_DE31,S1A_IW_SLC__1SDV_20230512T214335_20230512T214402_048506_05D5B4_DE31-SLC,S1A_IW_SLC__1SDV_20230524T214335_20230524T214402_048681_05DAE5_BE11,S1A_IW_SLC__1SDV_20230524T214335_20230524T214402_048681_05DAE5_BE11-SLC,12,134,189.29897721697805,12
S1A_IW_SLC__1SDV_20230524T214310_20230524T214337_048681_05DAE5_AE6E,S1A_IW_SLC__1SDV_20230524T214310_20230524T214337_048681_05DAE5_AE6E-SLC,S1A_IW_SLC__1SDV_20230605T214311_20230605T214338_048856_05E01C_EEEC,S1A_IW_SLC__1SDV_20230605T214311_20230605T214338_048856_05E01C_EEEC-SLC,12,134,50.8087847847502,12
