master_id,master_fileID,slave_id,slave_fileID,delta_days,track
S1A_IW_SLC__1SDV_20221130T215122_20221130T215149_046129_0585B2_64D0,S1A_IW_SLC__1SDV_20221130T215122_20221130T215149_046129_0585B2_64D0-SLC,S1A_IW_SLC__1SDV_20221212T215122_20221212T215149_046304_058BA9_29D3,S1A_IW_SLC__1SDV_20221212T215122_20221212T215149_046304_058BA9_29D3-SLC,12,32
S1A_IW_SLC__1SDV_20221130T215147_20221130T215214_046129_0585B2_8540,S1A_IW_SLC__1SDV_20221130T215147_20221130T215214_046129_0585B2_8540-SLC,S1A_IW_SLC__1SDV_20221212T215147_20221212T215214_046304_058BA9_B3E7,S1A_IW_SLC__1SDV_20221212T215147_20221212T215214_046304_058BA9_B3E7-SLC,12,32
S1A_IW_SLC__1SDV_20221130T215212_20221130T215239_046129_0585B2_3FB4,S1A_IW_SLC__1SDV_20221130T215212_20221130T215239_046129_0585B2_3FB4-SLC,S1A_IW_SLC__1SDV_20221212T215236_20221212T215303_046304_058BA9_282F,S1A_IW_SLC__1SDV_20221212T215236_20221212T215303_046304_058BA9_282F-SLC,12,32
S1A_IW_SLC__1SDV_20221130T215237_20221130T215304_046129_0585B2_D77D,S1A_IW_SLC__1SDV_20221130T215237_20221130T215304_046129_0585B2_D77D-SLC,S1A_IW_SLC__1SDV_20221224T214916_20221224T214943_046479_0591A5_EC03,S1A_IW_SLC__1SDV_20221224T214916_20221224T214943_046479_0591A5_EC03-SLC,23,32
S1A_IW_SLC__1SDV_20221212T214917_20221212T214944_046304_058BA9_9C14,S1A_IW_SLC__1SDV_20221212T214917_20221212T214944_046304_058BA9_9C14-SLC,S1A_IW_SLC__1SDV_20221224T214941_20221224T215008_046479_0591A5_67C0,S1A_IW_SLC__1SDV_20221224T214941_20221224T215008_046479_0591A5_67C0-SLC,12,32
S1A_IW_SLC__1SDV_20221212T214942_20221212T215009_046304_058BA9_E06E,S1A_IW_SLC__1SDV_20221212T214942_20221212T215009_046304_058BA9_E06E-SLC,S1A_IW_SLC__1SDV_20221224T215006_20221224T215033_046479_0591A5_D9D9,S1A_IW_SLC__1SDV_20221224T215006_20221224T215033_046479_0591A5_D9D9-SLC,12,32
S1A_IW_SLC__1SDV_20221212T215006_20221212T215033_046304_058BA9_391F,S1A_IW_SLC__1SDV_20221212T215006_20221212T215033_046304_058BA9_391F-SLC,S1A_IW_SLC__1SDV_20221224T215006_20221224T215033_046479_0591A5_D9D9,S1A_IW_SLC__1SDV_20221224T215006_20221224T215033_046479_0591A5_D9D9-SLC,12,32
S1A_IW_SLC__1SDV_20221212T215031_20221212T215058_046304_058BA9_7D6C,S1A_IW_SLC__1SDV_20221212T215031_20221212T215058_046304_058BA9_7D6C-SLC,S1A_IW_SLC__1SDV_20221224T215031_20221224T215057_046479_0591A5_8AAB,S1A_IW_SLC__1SDV_20221224T215031_20221224T215057_046479_0591A5_8AAB-SLC,12,32
S1A_IW_SLC__1SDV_20221212T215056_20221212T215124_046304_058BA9_1BBE,S1A_IW_SLC__1SDV_20221212T215056_20221212T215124_046304_058BA9_1BBE-SLC,S1A_IW_SLC__1SDV_20221224T215121_20221224T215148_046479_0591A5_5BF3,S1A_IW_SLC__1SDV_20221224T215121_20221224T215148_046479_0591A5_5BF3-SLC,12,32
S1A_IW_SLC__1SDV_20221212T215122_20221212T215149_046304_058BA9_29D3,S1A_IW_SLC__1SDV_20221212T215122_20221212T215149_046304_058BA9_29D3-SLC,S1A_IW_SLC__1SDV_20221224T215146_20221224T215213_046479_0591A5_B6CC,S1A_IW_SLC__1SDV_20221224T215146_20221224T215213_046479_0591A5_B6CC-SLC,12,32
