master_id,master_fileID,slave_id,slave_fileID,delta_days,track,perp_baseline,temp_baseline
S1A_IW_SLC__1SDV_20210118T221543_20210118T221610_036198_043EB4_5D43,S1A_IW_SLC__1SDV_20210118T221543_20210118T221610_036198_043EB4_5D43-SLC,S1A_IW_SLC__1SDV_20210130T221607_20210130T221634_036373_0444C8_F103,S1A_IW_SLC__1SDV_20210130T221607_20210130T221634_036373_0444C8_F103-SLC,12,76,227936.27660044096,12
S1A_IW_SLC__1SDV_20210118T221608_20210118T221634_036198_043EB4_585A,S1A_IW_SLC__1SDV_20210118T221608_20210118T221634_036198_043EB4_585A-SLC,S1A_IW_SLC__1SDV_20210130T221632_20210130T221659_036373_0444C8_01E8,S1A_IW_SLC__1SDV_20210130T221632_20210130T221659_036373_0444C8_01E8-SLC,12,76,186478.60102800373,12
S1A_IW_SLC__1SDV_20210118T221632_20210118T221659_036198_043EB4_9268,S1A_IW_SLC__1SDV_20210118T221632_20210118T221659_036198_043EB4_9268-SLC,S1A_IW_SLC__1SDV_20210130T221632_20210130T221659_036373_0444C8_01E8,S1A_IW_SLC__1SDV_20210130T221632_20210130T221659_036373_0444C8_01E8-SLC,12,76,107.9887292840413,12
S1A_IW_SLC__1SDV_20210118T221657_20210118T221725_036198_043EB4_4037,S1A_IW_SLC__1SDV_20210118T221657_20210118T221725_036198_043EB4_4037-SLC,S1A_IW_SLC__1SDV_20210130T221657_20210130T221725_036373_0444C8_4978,S1A_IW_SLC__1SDV_20210130T221657_20210130T221725_036373_0444C8_4978-SLC,12,76,34543.682386324646,12
S1A_IW_SLC__1SDV_20210108T215705_20210108T215732_036052_04399C_844A,S1A_IW_SLC__1SDV_20210108T215705_20210108T215732_036052_04399C_844A-SLC,S1A_IW_SLC__1SDV_20210120T215729_20210120T215756_036227_043FC4_FFC4,S1A_IW_SLC__1SDV_20210120T215729_20210120T215756_036227_043FC4_FFC4-SLC,12,105,193475.0009454056,12
S1A_IW_SLC__1SDV_20210108T215729_20210108T215756_036052_04399C_4678,S1A_IW_SLC__1SDV_20210108T215729_20210108T215756_036052_04399C_4678-SLC,S1A_IW_SLC__1SDV_20210120T215729_20210120T215756_036227_043FC4_FFC4,S1A_IW_SLC__1SDV_20210120T215729_20210120T215756_036227_043FC4_FFC4-SLC,12,105,27.691485266378706,12
S1A_IW_SLC__1SDV_20210108T215754_20210108T215821_036052_04399C_601D,S1A_IW_SLC__1SDV_20210108T215754_20210108T215821_036052_04399C_601D-SLC,S1A_IW_SLC__1SDV_20210120T215754_20210120T215821_036227_043FC4_BFC7,S1A_IW_SLC__1SDV_20210120T215754_20210120T215821_036227_043FC4_BFC7-SLC,12,105,27.0328933253871,12
S1A_IW_SLC__1SDV_20210108T215819_20210108T215846_036052_04399C_F453,S1A_IW_SLC__1SDV_20210108T215819_20210108T215846_036052_04399C_F453-SLC,S1A_IW_SLC__1SDV_20210120T215843_20210120T215910_036227_043FC4_612C,S1A_IW_SLC__1SDV_20210120T215843_20210120T215910_036227_043FC4_612C-SLC,12,105,186407.71116401852,12
S1A_IW_SLC__1SDV_20210108T215844_20210108T215911_036052_04399C_9AFC,S1A_IW_SLC__1SDV_20210108T215844_20210108T215911_036052_04399C_9AFC-SLC,S1A_IW_SLC__1SDV_20210120T215908_20210120T215936_036227_043FC4_C8E4,S1A_IW_SLC__1SDV_20210120T215908_20210120T215936_036227_043FC4_C8E4-SLC,12,105,193458.57732040336,12
S1A_IW_SLC__1SDV_20210108T215909_20210108T215937_036052_04399C_6679,S1A_IW_SLC__1SDV_20210108T215909_20210108T215937_036052_04399C_6679-SLC,S1A_IW_SLC__1SDV_20210120T215934_20210120T220001_036227_043FC4_A43D,S1A_IW_SLC__1SDV_20210120T215934_20210120T220001_036227_043FC4_A43D-SLC,12,105,186396.4891250672,12
